번호,한자,뜻,음
1,袈,가사,가
2,稼,곡식심을,가
3,苛,매울,가
4,駕,멍에,가
5,嫁,시집갈,가
6,恪,삼갈,각
7,揀,가릴,간
8,侃,굳셀,간
9,澗,시내,간
10,玕,옥돌,간
11,喝,꾸짖을,갈
12,竭,다할,갈
13,碣,비(선돌게),갈
14,柑,감귤,감
15,瞰,굽어볼,감
16,勘,헤아릴,감
17,匣,상자,갑
18,糠,겨,강
19,杠,깃대,강
20,堈,"독,언덕",강
21,橿,박달나무,강
22,薑,생강,강
23,羌,종족이름,강
24,絳,진홍색,강
25,襁,포대기,강
26,芥,겨자,개
27,漑,물댈,개
28,疥,옴,개
29,愷,편안할,개
30,羹,국,갱
31,醵,잔치(추렴할거),갹
32,遽,"갑자기,급할",거
33,渠,도랑,거
34,鉅,"클,갈고리",거
35,楗,문빗장,건
36,虔,정성스러울,건
37,愆,허물,건
38,杰,호걸,걸
39,怯,겁낼,겁
40,檄,격문,격
41,譴,꾸짖을,견
42,鵑,두견새,견
43,抉,"도려낼,들추어낼",결
44,鎌,낫,겸
45,痙,경련,경
46,鯨,고래,경
47,俓,곧을,경
48,勁,"굳셀,힘",경
49,倞,굳셀,경
50,逕,길,경
51,憬,깨달을,경
52,擎,높이들,경
53,梗,"대개,막힐",경
54,檠,도지개,경
55,坰,들,경
56,耿,반짝거릴,경
57,暻,밝을,경
58,熲,"빛날,불빛",경
59,冏,"빛날,창",경
60,莖,줄기,경
61,涇,통할,경
62,誡,"경계할,훈계할",계
63,稽,상고할,계
64,烓,"화덕,밝을",계
65,敲,가로두드릴,고
66,股,넓적다리,고
67,睾,"늪,불알",고
68,拷,때릴,고
69,叩,머리숙여두드릴,고
70,羔,새끼양,고
71,瞽,소경,고
72,鵠,"고니,과녁",곡
73,轂,"바퀴,수레",곡
74,鯤,곤이,곤
75,棍,몽둥이(묶을혼),곤
76,崑,산이름,곤
77,琨,아름다운옥,곤
78,錕,적금,곤
79,控,당길,공
80,拱,두손맞잡을,공
81,鞏,"묶을,굳을",공
82,珙,큰옥,공
83,廓,"둘레,클",곽
84,藿,콩잎,곽
85,棺,널,관
86,灌,물댈,관
87,錧,"비녀장,쟁기",관
88,瓘,옥,관
89,琯,피리,관
90,括,쌀,괄
91,匡,바룰,광
92,曠,"밝을,넓을",광
93,桄,베틀,광
94,炚,"비칠,밝을",광
95,侊,"성할,클",광
96,胱,오줌통,광
97,珖,옥피리,광
98,洸,"용솟음할,빛날",광
99,拐,속일,괴
100,魁,으뜸,괴
101,槐,홰나무,괴
102,虢,"범발톱자국,나라이름",괵
103,宏,클,굉
104,肱,팔뚝,굉
105,喬,높을,교
106,嬌,아리따울,교
107,攪,어지러울,교
108,枸,구기자,구
109,銶,끌,구
110,柩,널,구
111,溝,도랑,구
112,垢,때,구
113,寇,떼도둑,구
114,駒,망아지,구
115,耈,명길,구
116,軀,몸,구
117,咎,허물,구
118,躬,몸,궁
119,蹶,넘어질,궐
120,潰,무너질,궤
121,詭,속일,궤
122,机,책상,궤
123,窺,엿볼,규
124,逵,큰길,규
125,葵,해바라기,규
126,畇,밭일굴,균
127,鈞,서른근,균
128,橘,귤,귤
129,剋,이길,극
130,戟,창,극
131,隙,틈,극
132,劤,강할,근
133,漌,맑을,근
134,墐,매흙질할,근
135,饉,흉년들,근
136,昑,밝을,금
137,衿,옷깃,금
138,襟,옷깃,금
139,衾,이불,금
140,扱,"걷어가질,미칠",급
141,汲,물길을,급
142,亘,뻗칠,긍
143,錡,가마솥,기
144,璂,고깔꾸미개옥,기
145,杞,구기자,기
146,埼,굽은낭떠러지,기
147,妓,기생,기
148,祺,길할,기
149,譏,나무랄,기
150,綺,무늬비단,기
151,淇,물이름,기
152,暣,"볕기운,날씨",기
153,崎,산길험할,기
154,圻,서울지경,기
155,磯,"자갈,여울돌",기
156,伎,"재주,광대",기
157,嗜,즐길,기
158,玘,패옥,기
159,錤,호미,기
160,佶,"건장할,굽을",길
161,桔,도라지,길
162,姞,"성,삼갈",길
163,喫,먹을,끽
164,懦,나약할,나
165,娜,아리따울,나
166,捺,누를,날
167,捏,반죽할,날
168,楠,"녹나무,들메나무",남
169,湳,물이름,남
170,囊,주머니,낭
171,柰,"능금나무,어찌",내
172,恬,편안할,념
173,佞,아첨할,녕
174,膿,고름,농
175,紐,맬,뉴
176,鈕,인꼭지,뉴
177,緞,비단,단
178,疸,황달,달
179,痰,가래,담
180,澹,"물모양,담박할",담
181,覃,"미칠,깊을",담
182,譚,이야기,담
183,曇,흐릴,담
184,沓,거듭,답
185,螳,사마귀,당
186,鐺,"쇠사슬,북소리",당
187,撞,"칠,두드릴",당
188,棠,"팥배나무,아가위",당
189,玳,대모,대
190,岱,대산,대
191,擡,들,대
192,棹,노,도
193,堵,담,도
194,鍍,도금할,도
195,蹈,"밟을,춤출",도
196,屠,잡을,도
197,搗,찧을,도
198,瀆,도랑,독
199,犢,송아지,독
200,墩,돈대,돈
201,焞,밝을,순
202,暾,아침해돋을,돈
203,憧,그리워할,동
204,瞳,눈동자,동
205,潼,물이름,동
206,疼,아플,동
207,垌,항아리,동
208,枓,물구기 (주두두),주
209,痘,천연두,두
210,遁,"달아날,피할",둔
211,鄧,나라이름,등
212,騾,노새,라
213,螺,소라,라
214,珞,구슬목걸이,락
215,酪,유즙,락
216,烙,지질,락
217,瀾,큰물결,란
218,瓓,옥무늬,란
219,辣,매울,랄
220,襤,누더기,람
221,籃,바구니,람
222,臘,"납향,섣달",랍
223,琅,옥이름,랑
224,狼,이리,랑
225,崍,산이름,래
226,輛,수레,량
227,倆,재주,량
228,黎,"무리,검을",려
229,戾,어그러질,려
230,閭,"이문,마을",려
231,靂,벼락,력
232,轢,삐걱거릴,력
233,攣,"경련,걸릴",련
234,輦,손수레,련
235,漣,잔물결,련
236,璉,호련,련
237,洌,맑을,렬
238,冽,"찰,맵게추울",렬
239,簾,발,렴
240,濂,시내이름,렴
241,鈴,방울,령
242,姈,여자영리할,령
243,伶,"영리할,악관",령
244,怜,지혜로울,령
245,昤,햇빛영롱할,령
246,隷,종,례
247,撈,잡을,로
248,彔,나무새길,록
249,瀧,"비올,여울",롱
250,瓏,"옥소리,환할",롱
251,儡,"꼭두각시,영락할",뢰
252,瞭,눈밝을,료
253,鬧,시끄러울,뇨
254,褸,남루할,루
255,陋,"좁을,더러울",루
256,壘,진,루
257,琉,유리,류
258,硫,유황,류
259,戮,죽일,륙
260,侖,"뭉치,둥글",륜
261,綸,"벼리,낚시줄",륜
262,淪,"빠질,잔물결",륜
263,崙,산이름,륜
264,慄,두려워할,률
265,肋,갈빗대,륵
266,凜,찰,름
267,凌,능가할,릉
268,菱,마름,릉
269,綾,비단,릉
270,莉,말리,리
271,离,"밝을,산신",리
272,俚,속될,리
273,悧,영리할,리
274,籬,울타리,리
275,璃,유리,리
276,痢,이질,리
277,俐,지혜로울,리
278,潾,물맑을,린
279,璘,옥무늬,린
280,躪,짓밟을,린
281,淋,물뿌릴,림
282,琳,아름다운옥,림
283,霖,장마,림
284,笠,삿갓,립
285,瑪,마노,마
286,邈,멀,막
287,鏋,금,만
288,曼,길,만
289,挽,당길,만
290,蔓,덩굴,만
291,沫,거품,말
292,茉,말리꽃,말
293,邙,산이름,망
294,莽,우거질,망
295,邁,"갈,힘쓸",매
296,煤,그을음,매
297,罵,욕할,매
298,萌,싹,맹
299,麵,국수,면
300,棉,목화,면
301,沔,물흘러가득할,면
302,溟,"바다,이슬비",명
303,酩,술취할,명
304,冒,무릅쓸,모
305,摸,본뜰,모
306,歿,죽을,몰
307,猫,고양이,묘
308,錨,닻,묘
309,畝,밭이랑(묘),무
310,憮,심심할,무
311,鵡,앵무새,무
312,撫,어루만질,무
313,拇,엄지손가락,무
314,珷,옥돌,무
315,懋,"힘쓸,성할",무
316,炆,따뜻할,문
317,蚊,모기,문
318,紋,무늬,문
319,渼,물결무늬,미
320,靡,쓰러질,미
321,縻,얽어맬,미
322,薇,장미,미
323,敃,"강할,힘쓸",민
324,忞,마음다잡을,민
325,岷,산이름,민
326,慜,총명할,민
327,鉑,금박,박
328,駁,논박할,박
329,撲,두드릴,박
330,璞,옥돌,박
331,珀,호박,박
332,頒,"나눌,반포할",반
333,磐,너럭바위,반
334,畔,밭두둑,반
335,潑,물뿌릴,발
336,跋,밟을,발
337,勃,우쩍일어날,발
338,彷,거닐,방
339,坊,동네,방
340,昉,밝을,방
341,滂,비퍼부을,방
342,膀,"오줌통,쌍배",방
343,陪,도울,배
344,湃,물결칠,배
345,徘,배회할,배
346,佰,"일백,백사람",백
347,蕃,무성할,번
348,杋,나무이름,범
349,氾,넘칠,범
350,帆,돛,범
351,范,벌풀,범
352,璧,둥근옥,벽
353,霹,벼락,벽
354,闢,열,벽
355,輧,가벼운수레,병
356,餠,떡,병
357,甁,"병,단지",병
358,棅,자루,병
359,鉼,"판금,가마솥",병
360,潽,물넓을,보
361,菩,보살,보
362,堡,작은성,보
363,褓,포대기,보
364,鍑,아가리큰솥,복
365,馥,향기,복
366,棒,몽둥이,봉
367,捧,받들,봉
368,烽,봉화,봉
369,鋒,칼끝,봉
370,琫,"칼집장식,옥",봉
371,俯,"구부릴,숙일",부
372,溥,넓을,부
373,斧,도끼,부
374,孚,"미쁠,참될",부
375,孵,알깔,부
376,芙,연꽃,부
377,腑,장부,부
378,糞,똥,분
379,雰,안개,분
380,汾,"클,물굽이쳐흐를",분
381,鄙,더러울,비
382,庇,덮을,비
383,扉,문짝,비
384,緋,비단,비
385,枇,비파나무,비
386,琵,비파,비
387,泌,샘물흐를,비
388,痹,저릴,비
389,脾,지라,비
390,臂,팔,비
391,誹,헐뜯을,비
392,嬪,궁녀,빈
393,濱,물가,빈
394,斌,빛날,빈
395,牝,암컷,빈
396,憑,기댈,빙
397,裟,가사,사
398,紗,깁,사
399,肆,"늘어놓을,방자할",사
400,獅,사자,사
401,瀉,쏟을,사
402,娑,춤출,사
403,珊,산호,산
404,薩,보살,살
405,杉,삼나무,삼
406,翔,날,상
407,塽,땅높고밝은곳,상
408,湘,물이름,상
409,爽,시원할,상
410,顙,이마,상
411,璽,옥새,새
412,穡,거둘,색
413,笙,생황,생
414,壻,사위,서
415,曙,새벽,서
416,嶼,섬,서
417,㥠,지혜,서
418,抒,"풀,펼",서
419,鉐,놋쇠,석
420,䄷,섬,석
421,淅,쌀일,석
422,汐,저녁조수,석
423,嬋,고울,선
424,銑,무쇠,선
425,渲,"바림,물적실",선
426,墡,백토,선
427,羨,부러워할,선
428,扇,부채,선
429,煽,불부칠,선
430,腺,샘,선
431,琁,옥,선
432,珗,옥돌,선
433,愃,쾌할,선
434,褻,"더러울,속옷",설
435,泄,샐,설
436,楔,쐐기,설
437,渫,칠,설
438,殲,다죽일,섬
439,惺,깰,성
440,瑆,옥빛,성
441,珹,옥이름,성
442,遡,거슬러올라갈,소
443,搔,긁을,소
444,卲,높을,소
445,柖,나무흔들릴,소
446,炤,밝을,소
447,玿,아름다운옥,소
448,韶,아름다울,소
449,霄,하늘,소
