번호,한자,뜻,음
1,肝,간,간
2,諫,간할,간
3,懇,"정성,간절할",간
4,幹,줄기,간
5,葛,칡,갈
6,憾,한할,감
7,剛,굳셀,강
8,慨,슬퍼할,개
9,坑,구덩이,갱
10,乞,빌,걸
11,揭,높이들,게
12,隔,막힐,격
13,牽,끌,견
14,絹,비단,견
15,肩,어깨,견
16,訣,"이별할,비결",결
17,謙,겸손할,겸
18,炅,빛날,경
19,頃,"이랑,잠깐",경
20,徑,지름길,경
21,桂,계수나무,계
22,繫,얽어맬,계
23,顧,돌아볼,고
24,鼓,북,고
25,雇,품팔이,고
26,哭,울,곡
27,菓,"과자,과실",과
28,誇,자랑할,과
29,寡,적을,과
30,郭,성곽,곽
31,寬,너그러울,관
32,館,"집, 객사",관
33,狂,미칠,광
34,掛,걸,괘
35,卦,점괘,괘
36,傀,꼭두각시,괴
37,愧,부끄러울,괴
38,塊,흙덩이,괴
39,僑,객지에살,교
40,狡,교활할,교
41,絞,목맬,교
42,膠,아교,교
43,鷗,갈매기,구
44,狗,개,구
45,懼,두려울,구
46,驅,몰,구
47,購,살,구
48,丘,언덕,구
49,歐,토할,구
50,俱,함께,구
51,菊,국화,국
52,窟,굴,굴
53,圈,둘레,권
54,厥,그,궐
55,闕,집,궐
56,軌,굴대,궤
57,叫,부르짖을,규
58,糾,살필,규
59,閨,안방,규
60,僅,겨우,근
61,槿,무궁화,근
62,肯,즐길,긍
63,忌,꺼릴,기
64,騎,말탈,기
65,棄,버릴,기
66,豈,어찌,기
67,飢,주릴,기
68,那,어찌,나
69,奈,어찌,내
70,惱,괴로워할,뇌
71,尿,오줌,뇨
72,尼,여승,니
73,泥,진흙,니
74,匿,숨을,닉
75,鍛,단련할,단
76,旦,아침,단
77,潭,못,담
78,膽,쓸개,담
79,踏,밟을,답
80,唐,당나라,당
81,戴,일,대
82,垈,터,대
83,渡,건널,도
84,挑,돋울,도
85,塗,"바를,진흙",도
86,桃,복숭아,도
87,悼,슬퍼할,도
88,陶,질그릇,도
89,篤,도타울,독
90,棟,마룻대,동
91,凍,얼,동
92,桐,오동나무,동
93,屯,모일,둔
94,藤,등나무,등
95,謄,베낄,등
96,騰,오를,등
97,洛,강이름,락
98,欄,난간,란
99,爛,빛날,란
100,濫,넘칠,람
101,廊,행랑,랑
102,掠,노략질할,략
103,梁,들보,량
104,諒,"살필,믿을",량
105,曆,책력,력
106,煉,달굴,련
107,廉,청렴할,렴
108,獵,사냥할,렵
109,齡,나이,령
110,靈,신령,령
111,虜,사로잡을,로
112,爐,화로,로
113,祿,녹,록
114,籠,새장,롱
115,賴,힘입을,뢰
116,僚,동료,료
117,療,병고칠,료
118,淚,눈물,루
119,漏,샐,루
120,屢,자주,루
