번호,한자,뜻,음
1,暇,겨를,가
2,架,시렁,가
3,覺,깨달을,각
4,閣,누각,각
5,却,물리칠,각
6,刻,새길,각
7,姦,간사할,간
8,簡,"대쪽,간략할",간
9,刊,책펴낼,간
10,鑑,거울,감
11,鋼,강철,강
12,綱,벼리,강
13,介,끼일,개
14,槪,대개,개
15,蓋,덮을,개
16,距,떨어질,거
17,拒,막을,거
18,據,의거할,거
19,傑,뛰어날,걸
20,劍,칼,검
21,憩,쉴,게
22,激,부딪칠,격
23,擊,칠,격
24,遣,보낼,견
25,缺,이지러질,결
26,兼,겸할,겸
27,硬,굳을,경
28,傾,기울,경
29,竟,마침내,경
30,卿,벼슬,경
31,械,기계,계
32,係,맬,계
33,契,맺을,계
34,啓,열,계
35,系,이어맬,계
36,枯,마를,고
37,姑,시어미,고
38,稿,"원고,볏집",고
39,恭,공손,공
40,孔,구멍,공
41,恐,두려울,공
42,貢,바칠,공
43,供,이바지할,공
44,攻,칠,공
45,瓜,오이,과
46,戈,창,과
47,冠,갓,관
48,貫,꿸,관
49,管,대롱,관
50,慣,버릇,관
51,鑛,쇳돌,광
52,怪,기이할,괴
53,壞,무너질,괴
54,較,견줄,교
55,巧,공교할,교
56,郊,들,교
57,矯,바로잡을,교
58,龜,거북,귀
59,構,얽을,구
60,拘,잡을,구
61,苟,진실로,구
62,屈,굽힐,굴
63,宮,집,궁
64,券,문서,권
65,拳,주먹,권
66,鬼,귀신,귀
67,菌,버섯,균
68,劇,심할,극
69,克,이길,극
70,斤,"도끼,근",근
71,謹,삼갈,근
72,筋,힘줄,근
73,琴,거문고,금
74,錦,비단,금
75,禽,새,금
76,畿,경기,기
77,奇,기이할,기
78,企,"꾀할,바랄",기
79,機,"베틀,기계",기
80,紀,벼리,기
81,寄,부칠,기
82,祈,빌,기
83,欺,속일,기
84,緊,굳게얽을,긴
85,諾,허락할,낙
86,娘,아가씨,낭
87,耐,견딜,내
88,寧,편안할,녕
89,奴,종,노
90,濃,짙을,농
91,腦,뇌,뇌
92,茶,차 (차),다
93,檀,박달나무,단
94,淡,맑을,담
95,擔,멜,담
96,畓,논,답
97,黨,무리,당
98,糖,엿,당
99,臺,대,대
100,帶,띠,대
101,貸,빌릴,대
102,途,길,도
103,倒,넘어질,도
104,逃,달아날,도
105,盜,도둑,도
106,跳,뛸,도
107,稻,벼,도
108,禱,빌,도
109,導,인도할,도
110,督,감독할,독
111,毒,독,독
112,敦,도타울,돈
113,豚,돼지,돈
114,突,"갑자기,부딪칠",돌
115,銅,구리,동
116,鈍,무딜,둔
117,羅,"벌릴,비단",라
118,絡,"맥락,얽힐",락
119,蘭,난초,란
120,亂,어지러울,란
121,藍,쪽,람
122,糧,양식,량
123,麗,고울,려
124,慮,생각,려
125,勵,힘쓸,려
126,憐,불쌍할,련
127,戀,사모할,련
128,鍊,쇠불릴,련
129,蓮,연꽃,련
130,聯,잇닿을,련
131,劣,못할,렬
132,裂,찢을,렬
133,嶺,고개,령
134,零,떨어질,령
135,鹿,사슴,록
136,弄,희롱,롱
137,雷,우레,뢰
138,了,마칠,료
139,龍,용,룡
140,樓,다락,루
141,累,"여러,묶을",루
142,輪,바퀴,륜
143,率,"거느릴솔,헤아릴",률
144,栗,밤,률
145,陵,언덕,릉
146,離,떠날,리
147,履,"밟을,신",리
