번호,한자,뜻,음
1,街,거리,가
2,假,거짓,가
3,佳,아름다울,가
4,干,방패,간
5,看,볼,간
6,甲,"껍질,갑옷",갑
7,降,내릴,강
8,講,익힐,강
9,康,편안할,강
10,更,다시,갱
11,巨,클,거
12,檢,검사할,검
13,儉,검소할,검
14,潔,깨끗할,결
15,警,경계할,경
16,慶,경사,경
17,耕,밭갈,경
18,境,지경,경
19,經,"지날,글",경
20,庚,"천간,별",경
21,戒,경계할,계
22,溪,시내,계
23,繼,이을,계
24,癸,"천간,북방",계
25,庫,곳집,고
26,谷,골,곡
27,官,벼슬,관
28,究,궁구할,구
29,句,글귀,구
30,群,무리,군
31,弓,활,궁
32,權,권세,권
33,歸,돌아갈,귀
34,均,고를,균
35,禁,금할,금
36,及,미칠,급
37,起,일어날,기
38,暖,따뜻할,난
39,難,어려울,난
40,納,들일,납
41,乃,이에,내
42,怒,성낼,노
43,努,힘쓸,노
44,斷,끊을,단
45,丹,붉을,단
46,單,홑,단
47,達,통달할,달
48,隊,무리,대
49,徒,무리,도
50,斗,말,두
51,豆,콩,두
52,得,얻을,득
53,燈,등잔,등
54,略,간략할,략
55,連,이을,련
56,烈,"매울,뜨거울",렬
57,列,벌일,렬
58,錄,기록할,록
59,論,논할,론
60,倫,인륜,륜
61,莫,없을,막
62,滿,찰,만
63,忘,잊을,망
64,妙,묘할,묘
65,卯,토끼,묘
66,戊,"천간,별",무
67,務,힘쓸,무
68,尾,꼬리,미
69,密,빽빽할,밀
70,飯,밥,반
71,防,막을,방
72,房,방,방
73,訪,찾을,방
74,背,등,배
75,拜,절,배
76,罰,벌할,벌
77,伐,칠,벌
78,丙,남녘,병
79,寶,보배,보
80,保,지킬,보
81,伏,엎드릴,복
82,復,돌아올,복
83,否,아닐,부
84,佛,부처,불
85,飛,날,비
86,悲,슬플,비
87,非,아닐,비
88,巳,"뱀,지지",사
89,絲,실,사
90,寺,절,사
91,舍,집,사
92,散,흩어질,산
93,殺,죽일,살
94,狀,모양,상
95,想,생각,상
96,床,평상,상
97,舌,혀,설
98,細,가늘,세
99,稅,세금,세
100,掃,쓸,소
101,笑,웃음,소
102,素,"흴,본디",소
103,續,이을,속
104,俗,풍속,속
105,松,소나무,송
106,收,거둘,수
107,愁,근심,수
108,修,닦을,수
109,受,받을,수
110,純,순수할,순
111,戌,"개,지지",술
112,拾,주울,습
113,承,이을,승
114,息,숨쉴,식
115,辛,매울,신
116,申,"펼,지지",신
117,若,"같을,만약",약
118,與,"더불,줄",여
119,逆,거스를,역
120,硏,갈,연
121,煙,연기,연
122,營,경영할,영
123,榮,영화,영
124,誤,그릇될,오
125,謠,노래,요
126,容,얼굴,용
127,遇,만날,우
128,圓,둥글,원
129,員,인원,원
130,危,위태할,위
131,遺,남길,유
132,酉,"닭,지지",유
133,乳,젖,유
134,乙,새,을
135,陰,그늘,음
136,應,응할,응
137,依,의지할,의
138,異,다를,이
139,貳,두,이
140,益,더할,익
141,引,끌,인
142,印,도장,인
143,寅,범,인
144,認,알,인
145,壹,한,일
146,壬,"천간,북방",임
147,壯,씩씩할,장
148,適,맞을,적
149,專,오로지,전
150,絶,끊을,절
151,點,점,점
152,接,이을,접
153,井,우물,정
154,丁,"장정,천간",정
155,除,덜,제
156,制,"마를,법도",제
157,製,지을,제
158,兆,조,조
159,造,지을,조
160,尊,높을,존
161,宗,마루,종
162,走,달릴,주
163,朱,붉을,주
164,衆,무리,중
165,持,가질,지
166,指,손가락,지
167,職,"벼슬,직분",직
168,辰,"별,지지",진
169,創,비롯할,창
170,冊,책,책
171,聽,들을,청
172,請,청할,청
173,丑,소,축
174,取,가질,취
175,治,다스릴,치
176,針,"바늘,침",침
177,快,쾌할,쾌
178,脫,벗을,탈
179,探,찾을,탐
180,討,칠,토
181,破,깨뜨릴,파
182,判,판단할,판
183,片,조각,편
184,布,"베,펼",포
185,暴,사나울(폭),포
186,包,쌀,포
187,票,"표,쪽지",표
188,亥,돼지,해
189,解,풀,해
190,鄕,"시골,마을",향
191,虛,빌,허
192,驗,시험,험
193,賢,어질,현
194,呼,부를,호
195,戶,지게문,호
196,貨,재화,화
197,候,기후,후
198,吸,숨들이쉴,흡
199,興,일어날,흥
200,希,바랄,희
