번호,한자,뜻,음
1,花,꽃,화
2,草,풀,초
3,首,머리,수
4,冬,겨울,동
5,形,모양,형
6,住,살,주
7,姉,손윗누이,자
8,季,계절,계
9,區,구역,구
10,族,겨레,족
11,道,길,도
12,祖,할아버지,조
13,前,앞,전
14,市,시장,시
15,氣,기운,기
16,夏,여름,하
17,幸,다행,행
18,走,달릴,주
19,意,뜻,의
20,強,강할,강
21,買,살,매
22,善,착할,선
23,歌,노래,가
24,植,심을,식
25,路,길,로
26,始,처음,시
27,樹,나무,수
28,服,옷,복
29,空,하늘,공
30,者,사람,자
31,房,방,방
32,詩,시,시
33,病,병,병
34,福,복,복
35,銀,은,은
36,億,억,억
37,妻,아내,처
38,妹,손아랫누이,매
39,孫,손자,손
40,師,스승,사
41,後,뒤,후
42,朝,아침,조
43,賣,팔,매
44,舊,옛,구
45,惡,악할,악
46,弱,약할,약
47,終,마칠,종
48,死,죽을,사
49,民,백성,민
50,春,봄,춘
51,黑,검을,흑
52,赤,붉을,적
53,萬,일만,만
54,頭,머리,두
55,飲,마실,음
56,青,푸를,청
57,面,얼굴,면
58,根,뿌리,근
59,秋,가을,추
60,店,가게,점
61,會,모일,회
62,便,편할,편
63,化,될,화
64,通,통할,통
65,開,열,개
66,韓,나라 이름,한
67,長,긴,장
68,回,돌,회
69,解,풀,해
70,速,빠를,속
71,閉,닫을,폐
72,感,느낄,감
73,鼻,코,비
74,動,움직일,동
75,色,빛,색
76,然,그럴,연
77,步,걸음,보
78,節,마디,절
79,數,셀,수
80,週,주일,주
81,秒,초,초
82,位,자리,위
83,場,마당,장
84,洞,마을,동
85,公,공평할,공
86,海,바다,해
87,美,아름다울,미
88,電,번개,전
89,作,지을,작
90,物,물건,물
91,無,없을,무
92,達,이를,달
93,有,있을,유
94,發,필,발
95,急,급할,급
96,能,능할,능
97,老,늙을,로
98,社,단체,사
99,學,배울,학
100,國,나라,국
