번호,한자,뜻,음
1,原,근원,원
2,失,잃을,실
3,表,겉,표
4,宗,마루,종
5,亡,망할,망
6,的,과녁,적
7,所,바,소
8,要,요긴할,요
9,和,화할,화
10,利,이로울,리
11,信,믿을,신
12,過,지날,과
13,現,나타날,현
14,性,성품,성
15,調,고를,조
16,進,나아갈,진
17,低,낮을,저
18,短,짧을,단
19,件,물건,건
20,伴,짝,반
21,順,순할,순
22,指,손가락,지
23,勝,이길,승
24,産,낳을,산
25,待,기다릴,대
26,流,흐를,류
27,報,갚을,보
28,律,법률,률
29,漢,한나라,한
30,絶,끊을,절
31,運,옮길,운
32,溫,따뜻할,온
33,豊,풍년,풍
34,題,제목,제
35,質,바탕,질
36,種,씨,종
37,支,지탱할,지
38,平,평평할,평
39,重,무거울,중
40,命,목숨,명
41,代,대신할,대
42,義,옳을,의
43,法,법,법
44,故,옛,고
45,野,들,야
46,暗,어두울,암
47,實,열매,실
48,統,거느릴,통
49,易,쉬울,이
50,復,회복할,복
51,省,살필,성
52,降,내릴,강
53,殺,죽일,살
54,率,거느릴,솔
55,更,고칠,경
56,識,알,식
57,說,말씀,설
58,樂,즐거울,락
59,君,임금,군
60,存,있을,존
61,充,채울,충
62,央,가운데,앙
63,令,명령할,령
64,規,법,규
65,事,일,사
66,考,생각할,고
67,知,알,지
68,河,강 이름,하
69,完,완전할,완
70,去,갈,거
71,良,어질,량
72,決,결단할,결
73,類,무리,류
74,創,만들,창
75,早,아침,조
76,集,모을,집
77,富,부자,부
78,眞,참,진
79,滅,멸망할,멸
80,式,법식,식
81,以,써,이
82,不,아니,불
83,共,함께,공
84,可,옳을,가
85,私,사사로울,사
86,軍,군사,군
87,綠,푸를,록
88,農,농사,농
89,典,법전,전
90,界,지경,계
91,對,대답할,대
92,則,법칙,칙
93,價,값,가
94,德,덕,덕
95,得,얻을,득
96,院,집,원
97,業,업,업
98,讀,읽을,독
99,歷,지낼,력
100,尊,높을,존
