번호,한자,뜻,음
1,目,눈,목
2,耳,귀,이
3,心,마음,심
4,口,입,구
5,足,발,족
6,立,설,립
7,犬,개,견
8,牛,소,우
9,羊,양,양
10,馬,말,마
11,鳥,새,조
12,魚,물고기,어
13,父,아버지,부
14,母,어머니,모
15,兒,아이,아
16,衣,옷,의
17,子,아들,자
18,王,임금,왕
19,力,힘,력
20,雨,비,우
21,夕,저녁,석
22,光,빛,광
23,果,과실,과
24,金,쇠,금
25,石,돌,석
26,男,남자,남
27,女,여자,녀
28,刀,칼,도
29,兄,형,형
30,弟,아우,제
31,左,왼,좌
32,右,오른,우
33,門,문,문
34,車,수레,차
35,品,물건,품
36,米,쌀,미
37,天,하늘,천
38,東,동녘,동
39,西,서녘,서
40,太,클,태
41,主,주인,주
42,北,북녘,북
43,南,남녘,남
44,方,모,방
45,己,몸,기
46,風,바람,풍
47,白,흰,백
48,自,스스로,자
49,弓,활,궁
50,先,먼저,선
51,本,근본,본
52,末,끝,말
53,多,많을,다
54,少,적을,소
55,身,몸,신
56,半,반,반
57,雨,비,우
58,明,밝을,명
59,村,마을,촌
60,地,땅,지
61,時,때,시
62,姓,성,성
63,料,헤아릴,료
64,星,별,성
65,名,이름,명
66,安,편안할,안
67,字,글자,자
68,家,집,가
69,習,익힐,습
70,理,다스릴,리
71,期,기약할,기
72,注,물댈,주
73,等,등급,등
74,話,이야기,화
75,親,친할,친
76,校,학교,교
77,記,기록할,기
78,間,사이,간
79,聞,들을,문
80,童,아이,동
81,新,새로울,신
82,雪,눈,설
83,江,강,강
84,初,처음,초
85,孝,효도,효
86,問,물을,문
87,活,살,활
88,室,방,실
89,科,과목,과
90,敎,가르칠,교
