번호,한자,뜻,음
1,誕,태어날,탄
2,姻,혼인,인
3,剛,굳셀,강
4,弔,조상할,조
5,傍,곁,방
6,伯,맏,백
7,叔,아저씨,숙
8,慈,사랑할,자
9,息,쉴/낳을,식
10,床,마루,상
11,診,진찰할,진
12,液,진액,액
13,齒,이,치
14,症,증세,증
15,腰,허리,요
16,染,물들일,염
17,局,판,국
18,劑,약제,제
19,湯,끓일,탕
20,腐,썩을,부
21,杯,잔,배
22,裳,치마,상
23,飾,꾸밀,식
24,粧,단장할,장
25,寶,보배,보
26,圈,우리,권
27,寢,잠잘,침
28,薄,엷을,박
29,暑,더울,서
30,處,곳,처
31,沙,모래,사
32,播,뿌릴,파
33,洪,큰물,홍
34,鷄,닭,계
35,肥,살질,비
36,眠,잠잘,면
37,拳,주먹,권
38,籠,대바구니,롱
39,混,섞을,혼
40,蝶,나비,접
41,負,짐질,부
42,媒,중매할,매
43,編,엮을,편
44,娛,즐거워할,오
45,郵,역참,우
46,暇,겨를,가
47,憲,법,헌
48,顯,밝을,현
49,泊,머무를,박
50,蹟,자취,적
51,趣,재미,취
52,蒐,모을,수
53,劇,연극,극
54,奏,아뢸,주
55,叉,깍지낄,차
56,牽,이끌,견
57,側,곁,측
58,汽,증기,기
59,鐵,쇠,철
60,互,서로,호
61,障,막힐,장
62,措,둘,조
63,掃,쓸,소
64,販,팔,판
65,奬,장려할,장
66,舍,집,사
67,審,살필,심
68,鑛,쇳돌,광
69,辨,분별할,변
70,臨,임할,림
71,獸,짐승,수
72,塗,칠할,도
73,激,부딪칠,격
74,歡,기쁠,환
75,快,쾌할,쾌
76,蔑,업신여길,멸
77,哀,슬플,애
78,慕,그리워할,모
79,憤,분할,분
80,怒,성낼,노
81,慾,욕심,욕
82,肯,즐길,긍
83,搖,흔들릴,요
84,奮,떨칠,분
85,恭,공손할,공
86,畏,두려워할,외
87,莫,없을,막
88,密,빽빽할,밀
89,悔,뉘우칠,회
90,憂,근심할,우
91,烏,까마귀,오
92,梨,배나무,리
93,餅,떡,병
94,凍,얼,동
95,尿,오줌,뇨
96,卵,알,란
97,狗,개,구
98,橡,상수리나무,상
99,紅,붉을,홍
100,濁,흐릴,탁
101,漸,점점,점
102,佳,아름다울,가
103,匹,짝,필
104,策,꾀,책
105,糊,풀,호
106,夢,꿈,몽
107,顚,넘어질/머리,전
108,倒,넘어질,도
109,累,쌓을,루
110,刮,비빌,괄
111,丘,언덕,구
112,笑,웃을,소
113,仰,우러러볼,앙
114,撤,거둘,철
115,矯,바로잡을,교
116,戒,경계할,계
117,覆,뒤집힐/복,복
118,盆,동이,분
119,芝,영지,지
120,蘭,난초,란
121,背,등,배
122,陣,진칠,진
123,杞,나라 이름,기
124,舟,배,주
125,劍,칼,검
126,墨,먹,묵
127,吳,나라 이름,오
128,壁,둥근옥,벽
129,矛,창,모
130,盾,방패,순
131,塞,변방/막을,색
132,翁,노인,옹
133,鹿,사슴,록
134,龍,용,룡
135,睛,눈동자,정
136,虎,호랑이,호
137,兔,토끼,토
138,烹,삶을,팽
139,盜,훔칠,도
140,柯,가지,가
141,顧,돌아볼,고
142,廬,오두막,려
143,捲,말,권
144,蜜,꿀,밀
145,腹,배,복
146,狼,이리,랑
147,苛,매울,가
148,猛,사나울,맹
149,脣,입술,순
150,遷,옮길,천
