번호,한자,뜻,음
1,循,돌,순
2,綱,벼리,강
3,屬,무리,속
4,被,입을,피
5,雙,쌍,쌍
6,腦,머리,뇌
7,臟,오장,장
8,酸,신맛,산
9,鹽,소금,염
10,蒸,찔,증
11,壓,누를,압
12,晶,맑을,정
13,粒,알,립
14,宇,집,우
15,宙,집,주
16,恒,항상,항
17,衛,지킬,위
18,殼,껍질,각
19,核,씨,핵
20,軸,굴대,축
21,乾,마를,건
22,燥,마를,조
23,谷,계곡,곡
24,扇,부채,선
25,震,진동,진
26,嚴,엄할,엄
27,彈,탄알,탄
28,磁,자석,자
29,折,꺾을,절
30,錯,어긋날,착
31,幅,폭,폭
32,殘,남을,잔
33,荷,짐,하
34,竝,나란히할,병
35,倍,곱절,배
36,邊,가,변
37,鈍,무딜,둔
38,孤,외로울,고
39,垂,늘어질,수
40,哲,밝을,철
41,狩,사냥,수
42,獵,사냥,렵
43,封,봉할,봉
44,候,물을,후
45,獻,바칠,헌
46,檀,박달나무,단
47,麗,고울,려
48,羅,그물,라
49,弘,넓을,홍
50,厚,두터울,후
51,瞻,볼,첨
52,宮,집,궁
53,督,살필,독
54,輪,바퀴,륜
55,廻,돌,회
56,罪,허물,죄
57,帝,임금,제
58,倫,인륜,륜
59,窮,궁할,궁
60,懷,품을,회
61,批,비평할,비
62,諸,모두,제
63,孔,구멍,공
64,朱,붉을,주
65,勳,공,훈
66,抵,거스를,저
67,抗,막을,항
68,誘,꾈,유
69,歎,탄식할,탄
70,敍,차례,서
71,附,붙을,부
72,符,부신,부
73,韻,울림,운
74,隨,따를,수
75,型,거푸집,형
76,抒,풀,서
77,篇,책,편
78,啓,열,계
79,梅,매화나무,매
80,菊,국화,국
81,莊,엄숙할,장
82,孟,맏,맹
83,庸,쓸,용
84,隷,종,례
85,楷,본,해
86,寅,호랑이,인
87,巳,뱀,사
88,壬,천간,임
89,乙,새,을
90,甲,갑옷,갑
91,雅,바를,아
92,謠,노래,요
93,絃,줄,현
94,鍵,열쇠,건
95,卽,곧,즉
96,幻,허깨비,환
97,旋,돌,선
98,彫,새길,조
99,浮,뜰,부
100,彩,무늬,채
101,宵,밤,소
102,寮,벗,료
103,抄,베낄,초
104,概,대개,개
105,脈,맥,맥
106,拙,못날,졸
107,帥,장수,수
108,割,나눌,할
109,靈,신령,령
110,髮,터럭,발
111,拘,잡을,구
112,憶,생각할,억
113,獲,얻을,획
114,緊,팽팽할,긴
115,疎,트일,소
116,濫,넘칠,람
117,厭,싫어할,염
118,模,본뜰,모
119,倣,본뜰,방
120,濕,축축할,습
121,愼,삼갈,신
122,廊,행랑,랑
123,含,머금을,함
124,怨,원망할,원
125,恨,한할,한
126,偶,우연,우
127,嫌,싫어할,혐
128,抽,뽑을,추
129,譽,명예,예
130,辱,욕보일,욕
131,諾,대답할,낙
132,瞬,눈깜짝일,순
133,執,잡을,집
134,載,실을,재
135,朗,밝을,랑
136,默,잠잠할,묵
137,微,작을,미
138,覽,볼,람
139,凝,엉길,응
140,探,찾을,탐
141,搜,찾을,수
142,詳,자세할,상
143,革,가죽,혁
144,刷,닦을,쇄
145,握,쥘,악
146,納,들일,납
147,討,칠,토
148,吐,토할,토
149,熟,익을,숙
150,飼,기를,사
151,殖,번성할,식
152,採,캘,채
153,募,뽑을,모
154,遂,이룰,수
155,藏,감출,장
156,攜,끌,휴
157,贈,줄,증
158,享,누릴,향
159,幕,장막,막
160,鎖,자물쇠,쇄
161,旣,이미,기
162,昇,오를,승
163,墜,떨어질,추
164,繁,많을,번
165,滅,멸망할,멸
166,卓,높을,탁
167,突,부딪칠,돌
168,隱,숨을,은
169,練,익힐,련
170,蒙,어두울,몽
171,簡,대쪽,간
172,縮,오그라들,축
173,困,곤할,곤
174,覇,으뜸갈,패
175,慘,혹독할,참
176,嚴,엄할,엄
177,攻,칠,공
178,逃,달아날,도
179,寄,붙여살,기
180,夭,일찍죽을,요
