번호,한자,뜻,음
1,柯,가지,가
2,軻,"굴대,사람이름",가
3,迦,"부처이름,막을",가
4,賈,성(장사고),가
5,嘉,아름다울,가
6,伽,절,가
7,殼,껍질,각
8,珏,쌍옥,각
9,艮,머무를,간
10,杆,몽둥이,간
11,墾,밭갈,간
12,奸,"범할,간사할",간
13,艱,어려울,간
14,竿,장대,간
15,鞨,종족이름,갈
16,堪,견딜,감
17,邯,사람이름,감
18,鉀,갑옷,갑
19,岬,산허리,갑
20,慷,강개할,강
21,彊,"굳셀,활셀",강
22,腔,빈속,강
23,姜,성,강
24,岡,언덕,강
25,疆,지경,강
26,凱,"개선할,즐길",개
27,箇,낱,개
28,塏,높고건조한땅,개
29,价,"클,착할",개
30,鍵,열쇠,건
31,桀,"하왕이름,홰",걸
32,劫,위협할,겁
33,甄,질그릇구울,견
34,儆,경계할,경
35,瓊,붉을옥,경
36,璟,옥빛,경
37,屆,"이를,극진할",계
38,痼,고질,고
39,膏,기름,고
40,皐,언덕,고
41,昆,맏,곤
42,串,곶,곶
43,款,"정성,조목",관
44,驕,교만할,교
45,矩,곡척,구
46,邱,"땅이름,언덕",구
47,毆,때릴,구
48,灸,뜸,구
49,鳩,비둘기,구
50,舅,시아버지,구
51,玖,옥돌,구
52,仇,원수,구
53,鞠,기를,국
54,掘,팔,굴
55,倦,게으를,권
56,眷,돌아볼,권
57,奎,별이름,규
58,珪,서옥,규
59,揆,헤아릴,규
60,圭,홀,규
61,棘,가시,극
62,瑾,구슬,근
63,兢,삼갈,긍
64,矜,자랑할,긍
65,岐,갈림길,기
66,璣,"구슬,별이름",기
67,麒,기린,기
68,耆,늙을,기
69,沂,"물이름,산이름",기
70,棋,바둑,기
71,冀,바랄,기
72,琪,옥,기
73,琦,옥이름,기
74,騏,준마,기
75,驥,천리마,기
76,箕,키,기
77,拏,붙잡을,나
78,溺,빠질,닉
79,湍,급한여울,단
80,撻,매질할,달
81,遝,뒤섞일,답
82,塘,못,당
83,袋,자루,대
84,燾,"비출,덮을",도
85,濤,큰물결,도
86,萄,포도,도
87,惇,"도타울,힘쓸",돈
88,燉,불빛성할,돈
89,頓,조아릴,돈
90,乭,돌,돌
91,董,동독할,동
92,杜,막을,두
93,懶,게으를,라
94,裸,벌거벗을,라
95,剌,어그러질,랄
96,拉,"꺾을,끌고갈",랍
97,萊,명아주,래
98,亮,밝을,량
99,驪,검은말,려
100,礪,숫돌,려
101,廬,오두막집,려
102,呂,"음률,등뼈",려
103,侶,짝,려
104,斂,거둘,렴
105,玲,옥소리,령
106,醴,단술,례
107,蘆,갈대,로
108,魯,노나라,로
109,盧,"목로,검을",로
110,鷺,백로,로
111,聾,귀먹을,롱
112,賂,뇌물줄,뢰
113,遼,멀,료
114,劉,성,류
115,楞,모,릉
116,麟,기린,린
117,鱗,비늘,린
118,吝,아낄,린
119,粒,낟알,립
120,痲,"저릴,홍역",마
121,寞,고요할,막
122,膜,"흘떼기,막",막
123,瞞,속일,만
124,靺,종족이름,말
125,魅,"도깨비,홀릴",매
126,昧,어두울,매
127,寐,잠잘,매
128,貊,종족이름,맥
129,覓,찾을,멱
130,冕,면류관,면
131,俛,"힘쓸,굽힐",면
132,謨,꾀,모
133,茅,띠,모
134,帽,모자,모
135,牡,수컷,모
136,耗,줄을,모
137,牟,"클,소울",모
138,穆,화목할,목
139,描,그릴,묘
140,昴,별이름,묘
141,毋,말,무
142,巫,무당,무
143,汶,물이름,문
144,彌,"두루,그칠",미
145,旻,가을하늘,민
146,悶,민망할,민
147,閔,"성,근심할",민
148,玟,"옥돌,옥무늬",민
