번호,한자,뜻,음
1,脚,다리,각
2,渴,목마를,갈
3,敢,감히,감
4,皆,다,개
5,居,살,거
6,乾,하늘,건
7,堅,굳을,견
8,鏡,거울,경
9,驚,놀랄,경
10,鷄,닭,계
11,階,섬돌,계
12,孤,외로울,고
13,穀,곡식,곡
14,困,곤할,곤
15,坤,땅,곤
16,窮,다할,궁
17,勸,권할,권
18,卷,책,권
19,勤,부지런할,근
20,幾,몇,기
21,旣,이미,기
22,但,다만,단
23,段,"층계,조각",단
24,卵,알,란
25,覽,볼,람
26,浪,물결,랑
27,郞,사내,랑
28,涼,서늘할,량
29,露,이슬,로
30,留,머무를,류
31,柳,버들,류
32,晩,늦을,만
33,忙,바쁠,망
34,麥,보리,맥
35,免,면할,면
36,眠,잠잘,면
37,勉,힘쓸,면
38,鳴,울,명
39,暮,저물,모
40,墓,무덤,묘
41,茂,무성할,무
42,舞,춤출,무
43,墨,먹,묵
44,勿,말,물
45,杯,잔,배
46,凡,무릇,범
47,犯,범할,범
48,逢,만날,봉
49,扶,도울,부
50,浮,뜰,부
51,朋,벗,붕
52,秘,숨길,비
53,私,사사로울,사
54,射,쏠,사
55,傷,상할,상
56,霜,서리,상
57,尙,"오히려,높을",상
58,喪,"초상,잃을",상
59,象,코끼리,상
60,暑,더울,서
61,惜,아낄,석
62,昔,옛,석
63,設,베풀,설
64,損,덜,손
65,誰,누구,수
66,須,모름지기,수
67,壽,목숨,수
68,雖,비록,수
69,秀,빼어날,수
70,淑,맑을,숙
71,叔,아재비,숙
72,崇,높일,숭
73,乘,탈,승
74,施,베풀,시
75,深,깊을,심
76,甚,심할,심
77,我,나,아
78,顔,얼굴,안
79,巖,바위,암
80,仰,우러를,앙
81,哀,슬플,애
82,也,어조사,야
83,揚,떨칠,양
84,讓,사양할,양
85,於,어조사,어
86,憶,생각할,억
87,嚴,엄할,엄
88,余,나,여
89,汝,너,여
90,亦,또,역
91,域,지경,역
92,硯,벼루,연
93,悅,기쁠,열
94,炎,불꽃,염
95,迎,맞이할,영
96,烏,까마귀,오
97,悟,깨달을,오
98,吾,나,오
99,瓦,기와,와
100,臥,누울,와
101,曰,가로,왈
102,欲,하고자할,욕
103,憂,근심,우
104,尤,더욱,우
105,又,또,우
106,于,어조사,우
107,宇,집,우
108,云,이를,운
109,源,근원,원
110,怨,원망할,원
111,威,위엄,위
112,猶,"같을,오히려",유
113,遊,놀,유
114,柔,부드러울,유
115,儒,선비,유
116,幼,어릴,유
117,唯,"오직,허락할",유
118,吟,읊을,음
119,泣,울,읍
120,矣,어조사,의
121,議,의논할,의
122,而,말이을,이
123,易,쉬울,이
124,已,이미,이
125,仁,어질,인
126,忍,참을,인
127,慈,사랑,자
128,腸,창자,장
129,栽,심을,재
130,哉,어조사,재
131,著,나타날,저
132,積,쌓을,적
133,轉,구를,전
134,錢,돈,전
135,靜,고요할,정
136,貞,곧을,정
137,淨,깨끗할,정
138,頂,"정수리,꼭대기",정
139,諸,모든,제
140,帝,임금,제
141,鐘,쇠북,종
142,從,좇을,종
143,酒,술,주
144,宙,집,주
145,卽,곧,즉
146,曾,일찍,증
147,證,증거,증
148,枝,가지,지
149,之,갈,지
150,只,다만,지
151,智,지혜,지
152,盡,다할,진
153,執,잡을,집
154,且,또,차
155,借,빌릴,차
156,此,이,차
157,昌,창성할,창
158,菜,나물,채
159,採,캘,채
160,妻,아내,처
161,尺,자,척
162,泉,샘,천
163,淺,얕을,천
164,晴,갤,청
165,招,부를,초
166,推,가릴,추
167,追,쫓을,추
168,就,나아갈,취
169,吹,불,취
170,層,층,층
171,泰,클,태
172,痛,아플,통
173,投,던질,투
174,篇,책,편
175,閉,닫을,폐
176,抱,안을,포
177,楓,단풍나무,풍
178,豊,풍년,풍
179,皮,가죽,피
180,彼,저,피
181,疲,피곤할,피
182,匹,짝,필
183,何,어찌,하
184,賀,하례할,하
185,閑,"한가할,문지방",한
186,恨,한할,한
187,恒,항상,항
188,刑,형벌,형
189,虎,범,호
190,乎,어조사,호
191,或,혹,혹
192,混,섞을,혼
193,婚,혼인할,혼
194,紅,붉을,홍
195,華,빛날,화
196,歡,기쁠,환
197,皇,임금,황
198,厚,두터울,후
199,胸,가슴,흉
200,喜,기쁠,희
