번호,한자,뜻,음
1,加,더할,가
2,可,옳을,가
3,角,뿔,각
4,感,느낄,감
5,客,손님,객
6,格,격식,격
7,決,결단할,결
8,結,맺을,결
9,輕,가벼울,경
10,敬,공경할,경
11,界,지경,계
12,苦,괴로울,고
13,考,생각할,고
14,告,알릴,고
15,曲,굽을,곡
16,公,공변될,공
17,果,과실,과
18,過,지날,과
19,球,공,구
20,郡,고을,군
21,貴,귀할,귀
22,根,뿌리,근
23,級,등급,급
24,吉,길할,길
25,能,능할,능
26,堂,집,당
27,待,기다릴,대
28,德,덕,덕
29,圖,그림,도
30,度,법도,도
31,童,아이,동
32,動,움직일,동
33,落,떨어질,락
34,良,어질,량
35,歷,지낼,력
36,例,법식,례
37,禮,예도,례
38,路,길,로
39,勞,수고로울,로
40,綠,푸를,록
41,流,흐를,류
42,李,오얏,리
43,亡,망할,망
44,買,살,매
45,賣,팔,매
46,美,아름다울,미
47,朴,순박할,박
48,反,돌이킬,반
49,發,필,발
50,法,법,법
51,兵,군사,병
52,病,병,병
53,福,복,복
54,服,옷,복
55,奉,받들,봉
56,氷,얼음,빙
57,仕,벼슬할,사
58,思,생각,사
59,史,역사,사
60,使,하여금,사
61,算,셈,산
62,相,서로,상
63,席,자리,석
64,雪,눈,설
65,省,살필,성
66,洗,씻을,세
67,消,사리질,소
68,速,빠를,속
69,孫,손자,손
70,樹,나무,수
71,數,셈,수
72,宿,잠잘,숙
73,順,순할,순
74,術,재주,술
75,習,익힐,습
76,勝,이길,승
77,始,처음,시
78,式,법,식
79,臣,신하,신
80,實,열매,실
81,失,잃을,실
82,兒,아이,아
83,愛,사랑,애
84,野,들,야
85,藥,약,약
86,陽,볕,양
87,洋,큰바다,양
88,漁,고기잡을,어
89,億,억,억
90,業,일,업
91,如,같을,여
92,然,그럴,연
93,溫,따뜻할,온
94,要,구할,요
95,勇,날쌜,용
96,雲,구름,운
97,運,움직일,운
98,園,동산,원
99,院,집,원
100,油,기름,유
101,由,말미암을,유
102,飮,마실,음
103,醫,의원,의
104,以,써,이
105,因,인할,인
106,任,맡길,임
107,者,놈,자
108,昨,어제,작
109,章,글,장
110,再,두,재
111,在,있을,재
112,材,재목,재
113,的,과녁,적
114,赤,붉을,적
115,典,법,전
116,戰,싸움,전
117,展,펼,전
118,庭,뜰,정
119,定,정할,정
120,題,제목,제
121,第,차례,제
122,族,겨레,족
123,卒,군사,졸
124,州,고을,주
125,注,물댈,주
126,止,그칠,지
127,知,알,지
128,紙,종이,지
129,集,모일,집
130,參,참여할,참
131,窓,창문,창
132,責,꾸짖을,책
133,淸,맑을,청
134,體,몸,체
135,初,처음,초
136,充,채울,충
137,特,특별할,특
138,表,겉,표
139,品,물건,품
140,風,바람,풍
141,必,반드시,필
142,河,물,하
143,幸,다행,행
144,現,나타날,현
145,號,이름,호
146,畵,그림,화
147,化,될,화
148,訓,가르칠,훈
149,凶,흉할,흉
150,黑,검을,흑
