번호,한자,뜻,음
1,言,말씀,언
2,直,곧을,직
3,氷,얼음,빙
4,列,벌일,열
5,絲,실,사
6,用,쓸,용
7,世,인간,세
8,在,있을,재
9,史,역사,사
10,改,고칠,개
11,邑,고을,읍
12,友,벗,우
13,貝,조개,패
14,求,구할,구
15,造,지을,조
16,退,물러날,퇴
17,部,나눌,부
18,反,돌이킬,반
19,島,섬,도
20,成,이룰,성
21,肉,고기,육
22,士,선비,사
23,未,아닐,미
24,示,보일,시
25,才,재주,재
26,黃,누를,황
27,加,더할,가
28,禁,금할,금
29,相,서로,상
30,射,쏠,사
31,味,맛,미
32,想,생각할,상
33,張,베풀,장
34,漁,고기잡을,어
35,貨,재물,화
36,材,재목,재
37,板,널판지,판
38,格,격식,격
39,吉,길할,길
40,課,시험할,과
41,訓,가르칠,훈
42,好,좋을,호
43,忠,충성,충
44,思,생각,사
45,晴,갤,청
46,露,이슬,로
47,財,재물,재
48,恩,은혜,은
49,志,뜻,지
50,念,생각할,념
51,愛,사랑,애
52,語,말씀,어
53,謝,사례할,사
54,滿,가득찰,만
55,治,다스릴,치
56,洋,큰바다,양
57,湖,호수,호
58,線,줄,선
59,結,맺을,결
60,約,묶을,약
61,葉,잎,엽
62,落,떨어질,락
63,藥,약,약
64,苦,쓸,고
65,算,셈할,산
66,答,대답할,답
67,筆,붓,필
68,仙,신선,선
69,他,다를,타
70,使,부릴,사
71,敗,패할,패
72,敬,공경할,경
73,放,놓을,방
74,宿,잘,숙
75,客,손,객
76,定,정할,정
77,官,벼슬,관
78,因,인할,인
79,園,동산,원
80,固,굳을,고
81,追,쫓을,추
82,送,보낼,송
83,遠,멀,원
84,近,가까울,근
85,庭,뜰,정
86,序,차례,서
87,度,법도,도
88,判,판단할,판
89,制,마를,제
90,別,나눌,별
91,投,던질,투
92,打,칠,타
93,持,가질,지
94,陸,육지,륙
95,防,막을,방
96,都,도읍,도
97,鄕,시골,향
98,熱,뜨거울,열
99,育,기를,육
100,席,자리,석
