번호,한자,뜻,음
1,原,근원,원
2,失,잃을,실
3,表,겉,표
4,宗,마루,종
5,亡,망할,망
6,的,목표,적
7,所,바,소
8,要,구할,요
9,和,화목할,화
10,利,이로울,리
11,信,믿을,신
12,過,지날,과
13,現,나타날,현
14,性,성품,성
15,調,고를,조
16,進,나아갈,진
17,低,낮을,저
18,短,짧을,단
19,件,물건,건
20,傳,전할,전
21,順,순할,순
22,指,손가락,지
23,勝,이길,승
24,産,낳을,산
25,待,기다릴,대
26,流,흐를,류
27,報,갚을,보
28,律,법,률
29,漢,한수,한
30,絶,끊을,절
31,運,옮길,운
32,溫,따뜻할,온
33,豐,풍년,풍
34,題,제목,제
35,質,바탕,질
36,種,씨,종
37,支,지탱할,지
38,平,평평할,평
39,重,무거울,중
40,命,목숨,명
41,以,써,이
42,不,아니,불
43,共,함께,공
44,可,옳을,가
45,私,사사로울,사
46,軍,군사,군
47,綠,푸를,록
48,農,농사,농
49,典,법,전
50,界,지경,계
51,代,대신할,대
52,義,옳을,의
53,法,법,법
54,故,옛,고
55,野,들,야
56,暗,어두울,암
57,實,열매,실
58,統,거느릴,통
59,易,바꿀,역
60,復,회복할,복
61,省,살필,성
62,降,항복할,항
63,殺,죽일,살
64,率,거느릴,솔
65,更,고칠,경
66,識,알,식
67,說,말씀,설
68,樂,즐거울,락
69,君,임금,군
70,存,있을,존
71,充,가득할,충
72,央,가운데,앙
73,令,명령할,령
74,規,법,규
75,事,일,사
76,考,생각할,고
77,知,알,지
78,河,물,하
79,完,완전할,완
80,去,갈,거
81,良,어질,량
82,決,결정할,결
83,類,무리,류
84,創,만들,창
85,早,이를,조
86,集,모을,집
87,富,부자,부
88,眞,참,진
89,減,덜,감
90,式,법,식
91,對,대할,대
92,則,법칙,칙
93,價,값,가
94,德,덕,덕
95,得,얻을,득
96,院,집,원
97,業,업,업
98,讀,읽을,독
99,歷,지낼,력
100,尊,높을,존
