번호,한자,뜻,음
1,象,코끼리,상
2,毛,털,모
3,角,뿔,각
4,舟,배,주
5,斗,말,두
6,甘,달,감
7,凶,흉할,흉
8,鳴,울,명
9,伏,엎드릴,복
10,笛,피리,적
11,劣,못할,렬
12,淸,맑을,청
13,群,무리,군
14,功,공,공
15,柱,기둥,주
16,鋼,강철,강
17,管,대롱,관
18,評,평할,평
19,依,의지할,의
20,飯,밥,반
21,粉,가루,분
22,紀,벼리,기
23,像,형상,상
24,導,인도할,도
25,館,집,관
26,敎,가르칠,교
27,第,차례,제
28,警,깨우칠,경
29,訪,찾을,방
30,刑,형벌,형
31,政,정사,정
32,專,오로지,전
33,郊,들,교
34,轉,구를,전
35,願,원할,원
36,居,살,거
37,團,모둠,단
38,效,보람,효
39,寺,절,사
40,質,바탕,질
41,情,뜻,정
42,續,이을,속
43,許,허락할,허
44,英,꽃다울,영
45,移,옮길,이
46,泉,샘,천
47,給,줄,급
48,各,각각,각
49,豆,콩,두
50,紙,종이,지
51,稅,세금,세
52,暖,따뜻할,난
53,特,특별할,특
54,冷,차가울,랭
55,助,도울,조
56,婦,며느리,부
57,雲,구름,운
58,告,고할,고
59,神,귀신,신
60,晝,낮,주
61,霜,서리,상
62,呼,부를,호
63,禮,예도,례
64,任,맡길,임
65,忍,참을,인
66,誌,기록할,지
67,敢,감히,감
68,供,이바지할,공
69,忘,잊을,망
70,議,의논할,의
71,枝,가지,지
72,賃,품삯,임
73,扶,도울,부
74,婚,혼인,혼
75,束,묶을,속
76,貨,재물,화
77,援,도울,원
78,永,길,영
79,申,펼,신
80,旅,나그네,려
81,里,마을,리
82,比,견줄,비
83,武,호반,무
84,逆,거스를,역
85,秀,빼어날,수
86,刊,책박을,간
87,辛,매울,신
88,壽,목숨,수
89,守,지킬,수
90,必,반드시,필
91,具,갖출,구
92,球,공,구
93,郡,고을,군
94,曆,책력,력
95,返,돌이킬,반
96,視,볼,시
97,點,점,점
98,認,알,인
99,狀,형상,상
100,輕,가벼울,경
