번호,한자,뜻,음
1,引,당길,인
2,醫,의원,의
3,論,논할,론
4,願,바랄,원
5,圖,그림,도
6,詞,말,사
7,員,인원,원
8,素,바탕,소
9,輸,나를,수
10,油,기름,유
11,景,빛,경
12,養,기를,양
13,印,도장,인
14,否,아닐,부
15,略,줄일,략
16,標,표할,표
17,元,으뜸,원
18,査,조사할,사
19,賞,상줄,상
20,程,한도,정
21,修,닦을,수
22,覺,깨달을,각
23,鮮,고울,선
24,備,갖출,비
25,飛,날,비
26,延,끌,연
27,誠,정성,성
28,系,이을,계
29,例,법식,례
30,選,뽑을,선
31,假,거짓,가
32,停,머무를,정
33,監,볼,감
34,切,자를,절
35,伸,펼,신
36,聲,소리,성
37,檢,검사할,검
38,差,다를,차
39,俗,풍속,속
40,靜,고요할,정
41,裝,꾸밀,장
42,遺,남을,유
43,街,거리,가
44,宣,베풀,선
45,構,얽을,구
46,鑑,거울/볼,감
47,索,찾을,색
48,施,베풀,시
49,演,흐를,연
50,操,잡을,조
51,巨,클,거
52,就,나아갈,취
53,量,헤아릴,량
54,慣,익숙할,관
55,容,얼굴/받아들일,용
56,連,이을,련
57,痛,아플,통
58,限,한계,한
59,請,청할,청
60,設,베풀,설
61,察,살필,찰
62,績,자을/공,적
63,歸,돌아올,귀
64,態,모양,태
65,疑,의심할,의
66,斷,자를,단
67,避,피할,피
68,取,취할,취
69,勢,세력,세
70,與,더불어/줄,여
71,準,평평할,준
72,證,증명할,증
73,脫,벗을,탈
74,提,끌,제
75,航,배,항
76,布,베,포
77,茶,차,차/다
78,脚,다리,각
79,屈,굽을,굴
80,試,시험할,시
81,致,이를,치
82,摸,더듬을,모
83,從,따를,종
84,將,장수/장차,장
85,勞,수고할,로
86,破,깨뜨릴,파
87,傷,다칠,상
88,單,홀,단
89,耕,갈,경
90,唯,오직,유
91,器,그릇,기
92,擧,들,거
93,血,피,혈
94,榮,영화로울/꽃,영
95,看,볼,간
96,談,말씀,담
97,顏,얼굴,안
98,悲,슬플,비
99,勇,날랠,용
100,危,위험할,위
