번호,한자,뜻,음
1,沒,빠질,몰
2,優,뛰어날,우
3,起,일어날,기
4,暴,사나울,포/폭
5,授,줄,수
6,濃,짙을,농
7,損,덜,손
8,當,당할,당
9,裏,속,리
10,緯,씨,위
11,奉,받들,봉
12,衰,쇠할,쇠
13,雄,수컷,웅
14,値,값,치
15,術,재주,술
16,險,험할,험
17,繪,그림,회
18,氏,성,씨
19,端,단정할/끝,단
20,惠,은혜,혜
21,硏,갈,연
22,屋,집,옥
23,配,짝/나눌,배
24,仕,벼슬/섬길,사
25,複,겹칠,복
26,境,지경,경
27,偉,위대할,위
28,仁,어질,인
29,底,밑,저
30,層,층,층
31,康,편안할,강
32,泳,헤엄칠,영
33,次,다음,차
34,域,지경,역
35,賀,하례할,하
36,聖,성스러울,성
37,廣,넓을,광
38,儒,선비,유
39,究,궁구할,구
40,深,깊을,심
41,波,물결,파
42,霧,안개,무
43,營,경영할,영
44,及,미칠,급
45,至,이를/지극할,지
46,協,합할,협
47,資,재물,자
48,械,형틀/기구,계
49,刑,형벌,형
50,貿,바꿀,무
51,祝,빌,축
52,洗,씻을,세
53,城,성,성
54,職,일직,직
55,響,울릴,향
56,犯,범할,범
57,辭,말씀/사퇴할,사
58,普,넓을/보통,보
59,凡,무릇,범
60,參,참여할,참
61,適,알맞을,적
62,京,서울,경
63,留,머무를,류
64,映,비칠,영
65,香,향기,향
66,陽,볕,양
67,應,응할,응
68,華,빛날,화
69,圓,둥글,원
70,收,거둘,수
71,源,근원,원
72,務,힘쓸,무
73,衆,무리,중
74,曾,일찍,증
75,補,기울,보
76,卑,낮을,비
77,積,쌓을,적
78,權,권세,권
79,若,같을,약
80,拾,주울,습
81,望,바랄,망
82,爲,할,위
83,周,두루,주
84,變,변할,변
85,而,말이을,이
86,整,가지런할,정
87,臣,신하,신
88,孤,외로울,고
89,責,꾸짖을/책임,책
90,我,나,아
91,欲,하고싶을,욕
92,於,어조사,어
93,皮,가죽,피
94,拒,막을,거
95,慶,경사,경
96,遊,놀,유
97,登,오를,등
98,久,오래,구
99,朋,벗,붕
100,敵,원수,적
101,常,항상,상
102,患,근심,환
