번호,한자,뜻,음
1,閥,공로,벌
2,隔,사이뜰,격
3,雇,품팔,고
4,俸,녹,봉
5,勤,부지런할,근
6,罷,마칠,파
7,潤,젖을/이윤,윤
8,渡,건널,도
9,企,도모할,기
10,零,비올,령
11,契,맺을,계
12,購,살,구
13,需,구할,수
14,貫,세낼,세
15,借,빌릴,차
16,貯,쌓을,저
17,蓄,모을,축
18,擔,멜,담
19,融,녹을,융
20,幣,비단,폐
21,錢,돈,전
22,券,문서,권
23,株,그루터기,주
24,騰,오를,등
25,償,갚을,상
26,款,정성/문서,관
27,況,상황,황
28,剩,남을,잉
29,纖,가늘,섬
30,鋼,강철,강
31,輛,수레,량
32,牧,기를,목
33,畜,가축,축
34,燃,불탈,연
35,滑,미끄러울,활
36,橋,다리,교
37,港,항구,항
38,盤,소반,반
39,築,쌓을,축
40,府,관청,부
41,司,맡을,사
42,閣,누각,각
43,組,짤,조
44,總,거느릴,총
45,瓦,기와,와
46,廳,관청,청
47,黨,무리,당
48,委,맡길,위
49,廷,조정,정
50,裁,판가름할,재
51,訴,하소연할,소
52,訟,송사할,송
53,災,재앙,재
54,颱,태풍,태
55,浸,담글,침
56,糧,양식,량
57,毒,독,독
58,漏,셀,루
59,沈,가라앉을,침
60,派,갈래,파
61,罰,죄,벌
62,逮,잡을,체
63,捕,잡을,포
64,賂,뇌물,뢰
65,違,어길,위
66,環,고리,환
67,壞,무너질,괴
68,汚,더러울,오
69,排,밀칠,배
70,廢,폐할,폐
71,棄,버릴,기
72,燒,불사를,소
73,却,물리칠,각
74,祉,복,지
75,療,병고칠,료
76,壽,목숨,수
77,齡,나이,령
78,細,가늘,세
79,盟,맹세할,맹
80,聯,잇닿을,련
81,締,맺을,체
82,辯,말잘할,변
83,紛,어지러울,분
84,介,낄,개
85,侵,범할,침
86,占,점칠/차지할,점
87,謀,꾀할,모
88,爆,터질,폭
89,擊,칠,격
90,艦,군함,함
91,潛,잠길,잠
92,稿,원고,고
93,訃,부고낼,부
94,訂,바로잡을,정
95,掲,들,게
96,刺,찌를,자
97,秘,숨길,비
98,版,널,판
99,誇,자랑할,과
100,繼,이을,계
101,賊,도둑,적
102,俳,광대,배
103,聽,들을,청
104,讚,기릴,찬
105,銳,날카로울,예
106,躍,뛸,약
107,迎,맞이할,영
108,籍,문서,적
109,鬪,싸울,투
110,魂,넋,혼
111,惜,아낄,석
112,襲,엄습할,습
113,駆,몰,구
114,承,이을,승
115,戱,놀이,희
116,博,넓을,박
117,盲,소경,맹
118,臺,대,대
119,灣,물굽이,만
120,亞,버금,아
121,越,넘을,월
122,泰,클,태
123,尼,여승,니
124,逸,편안할/숨을,일
125,佛,부처,불
126,洲,섬,주
127,歐,토할/구라파,구
128,濠,물이름,호
129,阿,언덕,아
130,稱,일컬을,칭
131,振,떨칠,진
132,綜,모을,종
133,踐,밟을,천
134,途,길,도
135,織,짤,직
136,尙,오히려/숭상할,상
137,畿,경기,기
138,殊,뛰어날,수
139,藝,재주,예
140,置,둘,치
141,濟,건널,제
142,透,투과할,투
143,拓,넓힐,척
144,尖,뾰족할,첨
145,超,뛰어넘을,초
146,釋,풀,석
147,網,그물,망
148,副,버금,부
149,迫,닥칠,박
150,亂,어지러울,란
151,免,면할,면
152,柔,부드러울,유
153,堅,굳을,견
154,克,이길,극
155,糾,얽을,규
156,促,재촉할,촉
157,擴,넓힐,확
158,森,나무빽빽할,삼
159,包,쌀,포
160,浪,물결,랑
161,催,재촉할,최
162,摘,딸,적
163,硬,굳을,경
164,徵,부를,징
165,埋,묻을,매
166,抑,누를,억
167,傑,뛰어날,걸
168,涉,건널,섭
169,慮,생각할,려
170,託,부탁할,탁
171,餘,남을,여
172,召,부를,소
173,狂,미칠,광
174,般,돌,반
175,額,이마,액
176,照,비칠,조
177,緖,실마리,서
178,迷,미혹할,미
179,閱,볼,열
180,隊,군대,대
181,署,관청,서
182,幹,줄기,간
183,劃,그을,획
184,頂,꼭대기,정
185,妙,묘할,묘
186,舌,혀,설
187,仲,버금,중
188,威,위엄,위
189,秩,차례,질
190,鐘,쇠북,종
191,削,깎을,삭
192,緩,느릴,완
193,僞,거짓,위
194,履,밟을,리
195,惑,의심할,혹
196,讓,사양할,양
197,潮,조수,조
198,舞,춤,무
199,揮,휘두를,휘
200,妥,온당할,타
