번호,한자,뜻,음
1,循,좇을,순
2,綱,벼리,강
3,屬,무리,속
4,被,입을,피
5,雙,쌍,쌍
6,腦,머리,뇌
7,臟,오장,장
8,酸,신맛,산
9,鹽,소금,염
10,蒸,찔,증
11,壓,누를,압
12,晶,맑을,정
13,粒,쌀알,립
14,宇,집,우
15,宙,집,주
16,恒,항상,항
17,衛,지킬,위
18,殼,껍질,각
19,核,씨,핵
20,軸,굴대,축
21,乾,마를,건
22,燥,마를,조
23,谷,계곡,곡
24,扇,부채,선
25,震,천둥소리,진
26,巖,바위,암
27,彈,탄알,탄
28,磁,자석,자
29,折,꺾을,절
30,錯,어긋날,착
31,幅,폭,폭
32,殘,남을,잔
33,荷,짐,하
34,竝,나란히,병
35,倍,곱절,배
36,邊,가,변
37,鈍,무딜,둔
38,弧,활,호
39,垂,늘어질,수
40,哲,밝을,철
41,狩,사냥,수
42,獵,사냥,렵
43,封,봉할,봉
44,侯,제후,후
45,獻,바칠,헌
46,檀,박달나무,단
47,麗,고울,려
48,羅,그물,라
49,弘,넓을,홍
50,厚,두터울,후
51,瞻,볼,첨
52,宮,집,궁
53,督,살필,독
54,輪,바퀴,륜
55,廻,돌,회
56,罪,허물,죄
57,帝,임금,제
58,倫,인륜,륜
59,窮,궁할,궁
60,懷,품을,회
61,批,비평할,비
62,諸,모두,제
63,孔,구멍,공
64,朱,붉을,주
65,勳,공,훈
66,抵,거스를,저
67,抗,막을,항
68,誘,꾈,유
69,歎,탄식할,탄
70,敍,차례,서
71,附,붙일,부
72,符,부신,부
73,韻,울림,운
74,隨,따를,수
75,型,거푸집,형
76,抒,쏟을,서
77,篇,책,편
78,啓,열,계
79,梅,매화나무,매
80,菊,국화,국
81,莊,장엄할,장
82,孟,맹랑할,맹
83,庸,쓸,용
84,隷,종,례
85,楷,본,해
86,寅,호랑이,인
87,巳,뱀,사
88,干,방패,간
89,乙,새,을
90,甲,갑옷,갑
91,雅,바를,아
92,謠,노래할,요
93,絃,줄,현
94,鍵,열쇠,건
95,即,곧,즉
96,幻,허깨비,환
97,旋,돌릴,선
98,彫,새길,조
99,浮,뜰,부
100,彩,무늬,채
101,肖,닮을,초
102,淡,엷을,담
103,抄,베낄,초
104,槪,대개,개
105,脈,맥,맥
106,據,의거할,거
107,旨,뜻,지
108,註,주해,주
109,唱,부를,창
110,綿,솜,면
111,把,잡을,파
112,括,묶을,괄
113,推,밀,추
114,較,비교할,교
115,吸,마실,흡
116,釋,풀어낼,석
117,擇,가릴,택
118,捨,버릴,사
119,歪,비뚤,왜
120,潔,깨끗할,결
121,瞭,맑을,료
122,似,같을,사
123,析,가를,석
124,踏,밟을,답
125,著,나타날,저
126,拙,못날,졸
127,帥,장수,수
128,割,나눌,할
129,靈,신령,령
130,髮,터럭,발
131,拘,잡을,구
132,憶,생각할,억
133,獲,얻을,획
134,緊,팽팽할,긴
135,疏,트일,소
136,濫,넘칠,람
137,厭,싫어할,염
138,模,본뜰,모
139,倣,본뜰,방
140,濕,축축할,습
141,愼,삼갈,신
142,郞,낭군,랑
143,含,머금을,함
144,怨,원망할,원
145,恨,한,한
146,偶,우연,우
147,嫌,싫어할,혐
148,抽,뽑을,추
149,譽,명예,예
150,辱,욕보일,욕
151,諾,대답할,락
152,瞬,눈깜짝할,순
153,執,잡을,집
154,載,실을,재
155,朗,밝을,랑
156,默,잠잠할,묵
157,微,작을,미
158,驚,놀랄,경
159,凝,얼,응
160,探,찾을,탐
161,搜,찾을,수
162,詳,자세할,상
163,革,가죽,혁
164,刷,닦을,쇄
165,握,쥘,악
166,納,들일,납
167,討,칠,토
168,吐,토할,토
169,熟,익을,숙
170,飼,기를,사
171,殖,번성할,식
172,採,캘,채
173,募,뽑을,모
174,逐,이룰,축
175,藏,감출,장
176,携,끌,휴
177,贈,줄,증
178,享,누릴,향
179,幕,장막,막
180,鎖,자물쇠,쇄
181,旣,이미,기
182,昇,오를,승
183,墜,떨어질,추
184,繁,많을,번
185,滅,멸망할,멸
186,卓,높을,탁
187,突,부딪칠,돌
188,隱,숨을,은
189,練,익힐,련
190,蒙,어두울,몽
191,簡,줄일,간
192,縮,오그라들,축
193,困,곤할,곤
194,覇,으뜸,패
195,慘,혹독할,참
196,嚴,엄할,엄
197,攻,칠,공
198,逃,달아날,도
199,寄,붙어있을,기
200,夭,일찍죽을,요
